Category,ISBN,Title,Pub Date,Status,Action Needed,Severity
Past Pub Date,9780374608699,"What to Eat Now: The Indispensable Guide to Good Food, How to Find It, and Why It Matters",2025-11-11,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781838662202,Septime (English),2021-10-20,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9784911188057,"Mukoita I, Cutting Techniques: Fish",2025-09-30,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9789401487832,The Chocolatier's Shop,2024-06-05,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781984861443,The Scarr's Pizza Cookbook: New York-Style Pizza for Everybody,2025-03-25,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780451494962,The Last Supper: How to Overcome the Future Food Crisis,2025-10-07,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9798886741438,Seasons of Greens: A Collection of New Recipes from the Iconic San Francisco Restaurant,2025-04-22,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780593534847,Morgenstern's Finest Ice Cream,2025-06-17,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781984863188,Boustany: A Celebration of Vegetables from My Palestine,2025-07-15,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781250336026,The Condiment Book: Unlocking Maximum Flavor with Minimal Effort,2025-05-20,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780593139776,Braided Heritage: Recipes and Stories on the Origin of American Cuisine,2025-06-10,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780525612285,"Arthurs: Home of the Nosh, A Big Personality Cookbook of Delicious Jewish Favorites",2025-05-06,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781984860972,"Setting a Place for Us: Recipes and Stories of Displacement, Resilience, and Community from Eight Countries Impacted by War",2025-05-13,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781840919400,Portugal: Recipes and Ingredients,2025-08-19,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781998365425,The Gastronomic History of Paris: From the Middle Ages to Our Times,2025-09-02,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780063436152,Change the Recipe: Because You Can't Build a Better World Without Breaking Some Eggs,2025-04-22,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780316580915,Accidentally on Purpose,2025-04-22,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780500481158,Repast: The Story of Food,2025-05-06,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781487500702,Marvellous Vegetables in the English Renaissance,2025-04-22,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780306832161,"Dining Out: First Dates, Defiant Nights, and Last Call Disco Fries at America's Gay Restaurants",2025-06-03,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781324073796,What Is Queer Food? How We Served a Revolution,2025-06-03,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9781648291920,Six Seasons of Pasta: A New Way with Everyone's Favorite Food,2025-09-23,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780593804193,"Linger: Salads, Sweets, and Stories to Savor",2025-10-07,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,JCA5VOL,Japanese Culinary Academy 5-Volume Set,2025-10-28,Suspicious,Verify if already released or incorrect date,High
Past Pub Date,9780525561569,A School Lunch Revolution: A Cookbook,2025-10-14,Suspicious,Verify if already released or incorrect date,High
