Order ID,Product Name,Barcode/ISBN,Quantity,Reason
gid://shopify/Order/5365161033861,Midweek Recipes: Simple Cooking from an Edinburgh Studio,N/A,1,No barcode
gid://shopify/Order/5365169062021,Eaten #21: The Food History Magazine,9772575651000,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5365169062021,"Digest Magazine: Volume 4, Issue 4",985246268,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5365169062021,Saveur Magazine—Fall/Winter 2024,N/A,1,No barcode
gid://shopify/Order/5365401354373,The Loaves and Fishes Cookbook [2nd Ed],PUMP,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5365413707909,So Good #33: The Magazine of Haute Pâtisserie,SO GO 33,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5365413707909,So Cool #2: Signature Ice Cream Magazine,SoCool2,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5365985706117,Medieval and Renaissance Spice Trade 1100-1560,185804216X,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366105440389,Burnt Ends,BRNTNDS,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366320758917,Magazine F: Chicken Issue 3,MAG F 3,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366362570885,Card 4.95,card495,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366423814277,Noma in Kyoto,N/A,1,No barcode
gid://shopify/Order/5366423814277,Burnt Ends,BRNTNDS,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366454485125,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366462087301,Card 4.95,card495,2,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366506193029,Art Culinaire #146,AC146,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366506193029,Art Culinaire #150,AC150,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366506193029,Art Culinaire #151,AC150,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366506193029,So Cool #2: Signature Ice Cream Magazine,SoCool2,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366546169989,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366580052101,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366587654277,"Menu No 3:  Lobster, Smoke, Allium, Tomato, Vanilla, Olive Oil",N/A,1,No barcode
gid://shopify/Order/5366587654277,"Menu No 6: Pineapple, Parmesan, Earth, Marine, Citrus, Cardamom",N/A,1,No barcode
gid://shopify/Order/5366587654277,"Menu No 5: Beef, Mustard, Crab, Fresh Chilies, Dried Chilies, Butter",N/A,1,No barcode
gid://shopify/Order/5366587654277,"Menu No 2: Chicken, Aromatic Herbs, Fennel, Chili, Orange, Fig, Buttermilk",N/A,1,No barcode
gid://shopify/Order/5366603710597,So Good #33: The Magazine of Haute Pâtisserie,SO GO 33,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366612394117,So Good #33: The Magazine of Haute Pâtisserie,SO GO 33,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366612394117,Burnt Ends,BRNTNDS,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366612394117,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366845112453,Art Culinaire #140,Art Cu 140,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366845112453,Art Culinaire #118,ART CU 118,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366845112453,Art Culinaire #139,Art Cu 139,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5366845112453,Art Culinaire #146,AC146,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5367202480261,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5367284531333,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5367377461381,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5367377461381,Card 4.95,card495,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5367434051717,Kitchen Arts & Letters Gift Card - $75.00,N/A,1,No barcode
gid://shopify/Order/5367435526277,Burnt Ends,BRNTNDS,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5367435526277,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5367445422213,Kitchen Arts & Letters Gift Card - Kitchen Arts & Letters Gift Card,N/A,1,No variant information
