Order ID,Product Name,Quantity,Reason
gid://shopify/Order/5300321747077,The Bread Baker's Pocket Companion,4,Barcode does not start with 978
gid://shopify/Order/5300382335109,OP: The Book of Chocolate,1,Missing variant
gid://shopify/Order/5300382335109,Read Cook Eat Drink Tote Bag in Strong Canvas,2,Barcode does not start with 978
gid://shopify/Order/5300552335493,OP: Cooking from the Caucasus (paperback),1,Barcode does not start with 978
gid://shopify/Order/5300592869509,The Bread Baker's Pocket Companion,1,Barcode does not start with 978
gid://shopify/Order/5300592869509,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5300626391173,Noma in Kyoto,1,Barcode does not start with 978
gid://shopify/Order/5300658045061,Angelina Paris 1903: 50 Recettes Iconiques d'une Institution Parisienne,1,Barcode does not start with 978
gid://shopify/Order/5300758446213,Class: Bubbles!,1,Barcode does not start with 978
gid://shopify/Order/5300799078533,KAL Postcard,1,Barcode does not start with 978
gid://shopify/Order/5300900102277,OP: Art Culinaire #80,1,Barcode does not start with 978
gid://shopify/Order/5301195243653,OP: Alchemist's Cookbook (paperback),1,Barcode does not start with 978
gid://shopify/Order/5301227651205,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5301792440453,Burnt Ends,1,Barcode does not start with 978
gid://shopify/Order/5302511173765,The Art of the Neapolitan Pizzaiuolo from Tradition to Innovation,1,Barcode does not start with 978
gid://shopify/Order/5302543679621,McAtlas: A Global Guide to the Golden Arches (standard edition),1,Barcode does not start with 978
gid://shopify/Order/5302555279493,Class: Bubbles!,1,Barcode does not start with 978
gid://shopify/Order/5302558883973,Read Cook Eat Drink Tote Bag in Strong Canvas,1,Barcode does not start with 978
gid://shopify/Order/5302558883973,KAL Hat in Navy Blue with White Embroidery (in store),1,Barcode does not start with 978
gid://shopify/Order/5302558883973,Card 4.95,1,Barcode does not start with 978
gid://shopify/Order/5302611509381,Burnt Ends,1,Barcode does not start with 978
gid://shopify/Order/5302801105029,OP: Alchemist's Cookbook (paperback),1,Barcode does not start with 978
gid://shopify/Order/5302846062725,Cookbook Club Full Year Membership,1,Barcode does not start with 978
gid://shopify/Order/5302889644165,The Nouvelle Cuisine of Jean and Pierre Troisgros,1,Missing variant
gid://shopify/Order/5302951772293,Eaten #21: The Food History Magazine,1,Barcode does not start with 978
gid://shopify/Order/5302974513285,Kitchen Arts & Letters Gift Card - $50.00,1,Barcode does not start with 978
gid://shopify/Order/5303004037253,Produce Affairs Puzzle,1,Barcode does not start with 978
gid://shopify/Order/5303067115653,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5303082123397,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5303155327109,Poultry,1,Missing variant
gid://shopify/Order/5303155327109,OP: Ile-De-France: Produits du Terroir et Recettes Traditionnelles,1,Barcode does not start with 978
gid://shopify/Order/5303203299461,McAtlas: A Global Guide to the Golden Arches (signed special edition),1,Barcode does not start with 978
gid://shopify/Order/5303273029765,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5303297867909,Liquid Pleasures,1,Missing variant
gid://shopify/Order/5303329095813,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5303359111301,Saveur Magazine—Fall/Winter 2024,1,Barcode does not start with 978
gid://shopify/Order/5303359111301,Whetstone #11,1,Barcode does not start with 978
gid://shopify/Order/5303359111301,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5303362060421,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5303484612741,Magazine F: Rice Issue 5,1,Barcode does not start with 978
gid://shopify/Order/5303484612741,Magazine F: Wine Issue 29,1,Barcode does not start with 978
gid://shopify/Order/5303550705797,OP: Alchemist's Cookbook (paperback),1,Barcode does not start with 978
gid://shopify/Order/5303865016453,McAtlas: A Global Guide to the Golden Arches (standard edition),1,Barcode does not start with 978
gid://shopify/Order/5304170315909,McAtlas: A Global Guide to the Golden Arches (signed special edition),2,Barcode does not start with 978
gid://shopify/Order/5304212029573,Class: Bubbles!,1,Barcode does not start with 978
gid://shopify/Order/5304405950597,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5304448254085,Noma in Kyoto,1,Barcode does not start with 978
gid://shopify/Order/5304974966917,Kitchen Arts & Letters Gift Card - $50.00,1,Barcode does not start with 978
gid://shopify/Order/5304990990469,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5305039093893,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5305068847237,OP: Alchemist's Cookbook (paperback),1,Barcode does not start with 978
gid://shopify/Order/5305186222213,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5305227575429,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5305317949573,Plating Dessert,1,Barcode does not start with 978
gid://shopify/Order/5305317949573,Eaten #21: The Food History Magazine,1,Barcode does not start with 978
gid://shopify/Order/5305323520133,Eaten #18: The Food History Magazine,1,Barcode does not start with 978
gid://shopify/Order/5305439486085,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5305459900549,So Cool #1: Signature Ice Cream Magazine,1,Barcode does not start with 978
gid://shopify/Order/5305540575365,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5305549848709,The Art of the Neapolitan Pizzaiuolo from Tradition to Innovation,1,Barcode does not start with 978
gid://shopify/Order/5305604669573,Nez #16: Fashion & Fragrance,1,Barcode does not start with 978
gid://shopify/Order/5305604669573,Nez #17: Money & Perfume,1,Barcode does not start with 978
gid://shopify/Order/5305624526981,Kitchen Arts & Letters Gift Card - $100.00,1,Barcode does not start with 978
gid://shopify/Order/5305624526981,KAL Hat in Pink with Red Embroidery (in store),1,Barcode does not start with 978
gid://shopify/Order/5305639239813,Old Polish Traditions in the Kitchen and at the Table,1,Barcode does not start with 978
gid://shopify/Order/5305639239813,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5305652019333,"Cookbook Club: Roast Figs, Sugar Snow",1,Barcode does not start with 978
gid://shopify/Order/5305737052293,Burnt Ends,1,Barcode does not start with 978
gid://shopify/Order/5305737052293,Angelina Paris 1903: 50 Recettes Iconiques d'une Institution Parisienne,1,Barcode does not start with 978
gid://shopify/Order/5305809633413,The Art of the Neapolitan Pizzaiuolo from Tradition to Innovation,1,Barcode does not start with 978
gid://shopify/Order/5305824346245,So Good #32: The Magazine of Haute Pâtisserie,1,Barcode does not start with 978
gid://shopify/Order/5305824346245,So Good #31: The Magazine of Haute Pâtisserie,1,Barcode does not start with 978
gid://shopify/Order/5305833062533,Boka: The Cookbook,1,Barcode does not start with 978
gid://shopify/Order/5305851019397,"Tacos CDMX, Second Edition",1,Barcode does not start with 978
gid://shopify/Order/5305851019397,Eclair: Garuharu Master Book Series 1,1,Barcode does not start with 978
gid://shopify/Order/5306051264645,Midweek Recipes: Simple Cooking from an Edinburgh Studio,1,Barcode does not start with 978
gid://shopify/Order/5306416627845,So Good Recipes 3,1,Barcode does not start with 978
gid://shopify/Order/5306509131909,OP: Simple to Spectacular,3,Missing variant
gid://shopify/Order/5306567950469,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5306583056517,Saveur Magazine—Fall/Winter 2024,1,Barcode does not start with 978
gid://shopify/Order/5306584596613,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5306600685701,"Tacos CDMX, Second Edition",1,Barcode does not start with 978
gid://shopify/Order/5306624606341,"Queer Earth Food Volume 2: A Collection of Writing and Art on Food, the Earth, and Queerness",1,Barcode does not start with 978
gid://shopify/Order/5306624606341,"Queer Earth Food Volume 3: A Collection of Writing and Art on Food, the Earth, and Queerness",1,Barcode does not start with 978
gid://shopify/Order/5306633486469,OP: Classic Home Desserts,1,Missing variant
