Order ID,Product Name,Quantity,Reason
gid://shopify/Order/5348219388037,"Pasteleria Mas Saludable, Ligera y Sabrosa",1,Invalid barcode
gid://shopify/Order/5348359602309,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5348370546821,OP: The Melting Pot,1,Invalid barcode
gid://shopify/Order/5348390666373,Eaten #21: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5348390666373,Mise Journal: Mental Mise en Place,1,Invalid barcode
gid://shopify/Order/5348390666373,Cookbook Holder,1,Invalid barcode
gid://shopify/Order/5348394500229,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5348421959813,The Loaves and Fishes Cookbook [2nd Ed],1,Invalid barcode
gid://shopify/Order/5348456726661,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5348459872389,KAL Hat in Black with White Embroidery (in store),1,Invalid barcode
gid://shopify/Order/5348486152325,Postcard<<<<<<<<<<<<<<<<<,1,Invalid barcode
gid://shopify/Order/5348486152325,"Menu No 4: Duck, Chili, Anise, Apple, Ginger, Lemon",1,Invalid barcode
gid://shopify/Order/5348486152325,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5348490739845,So Good Recipes 3,1,Invalid barcode
gid://shopify/Order/5348490739845,The Irish Bakery,1,Invalid barcode
gid://shopify/Order/5348526391429,Card 4.95,1,Invalid barcode
gid://shopify/Order/5348526391429,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5348570497157,Card 4.95,1,Invalid barcode
gid://shopify/Order/5348570497157,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5348602871941,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5348620566661,Bag Fee Imposed by NYS/NYC,1,Invalid barcode
gid://shopify/Order/5348729421957,The Bread Baker's Pocket Companion,1,Invalid barcode
gid://shopify/Order/5348797087877,Eaten #18: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5349013586053,Midweek Recipes: Simple Cooking from an Edinburgh Studio,1,Invalid barcode
